,movie,year,imdb,
163,Tarzan,1999,7.3,7
164,El orfanato,2007,7.4,7
165,Fargo,1996,8.1,7
166,Monty Python and the Holy Grail,1975,8.2,7
167,Split,2016,7.3,7
168,Indiana Jones and the Last Crusade,1989,8.2,7
169,Rocky,1976,8.1,7
170,Spartacus,1960,7.9,7
171,Full Metal Jacket,1987,8.3,7
172,Annihilation,2018,6.9,7
173,Insidious,2010,6.8,6
174,The Place Beyond the Pines,2012,7.3,6
175,Before Sunset,2004,8,6
176,Hellboy,2004,6.8,6
177,Children of Men,2006,7.9,6
178,Hereditary,2018,7.3,6
179,Despicable Me,2010,7.6,6
180,Argo,2012,7.7,6
181,Mission: Impossible,1996,7.1,6
182,Spider-Man 2,2004,7.3,6
183,The Help,2011,8.1,6
184,Men in Black,1997,7.3,6
185,John Wick,2014,7.4,6
186,Rogue One,2016,7.8,6
187,Source Code,2011,7.5,6
188,Warrior,2011,8.2,6
189,Perfume: The Story of a Murderer,2006,7.5,6
190,Westworld,1973,7,6
191,Minority Report,2002,7.6,6
192,Lilo & Stitch,2002,7.2,6
193,Gone with the Wind,1939,8.1,6
194,The Descendants,2011,7.3,6
195,About Time,2013,7.8,6
196,Silver Linings Playbook,2012,7.7,6
197,Kingdom of Heaven,2005,7.2,6
198,It's a Mad Mad Mad Mad World,1963,7.5,5
199,Now You See Me,2013,7.3,6
200,The Terminator,1984,8,6
201,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,6
202,The Kite Runner,2007,7.6,6
203,John Wick: Chapter 2,2017,7.5,6
204,Mad Max,1979,6.9,6
205,Knives Out,2019,7.9,6
206,A Quiet Place,2018,7.5,6
207,The Conjuring,2013,7.5,6
208,X-Men: Days of Future Past,2014,8,6
209,Vanilla Sky,2001,6.9,6
210,Män som hatar kvinnor,2009,7.8,6
211,Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,6
212,Trick 'r Treat,2008,6.8,6
213,Tangled,2010,7.7,6
214,The Martian,2015,8,6
215,Harry Potter and the Chamber of Secrets,2002,7.4,6
216,Wo hu cang long,2000,7.8,6
217,Frost/Nixon,2008,7.7,6
218,Changeling,2008,7.7,6
219,Shrek 2,2004,7.2,6
220,Dunkirk,2017,7.9,6
221,The Hangover,2009,7.7,6
222,Rocky Balboa,2006,7.1,6
223,Scarface,1983,8.3,6
224,Legends of the Fall,1994,7.6,6
225,The Reader,2008,7.6,6
226,No Country for Old Men,2007,8.1,6
227,Whiplash,2014,8.5,6
228,The Dark Knight Rises,2012,8.4,6
229,Disturbia,2007,6.8,6
230,"I, Robot",2004,7.1,6
231,A Beautiful Mind,2001,8.2,6
232,Despicable Me 2,2013,7.3,6
233,Star Wars: Episode VII - The Force Awakens,2015,7.9,6
234,Shrek,2001,7.8,6
235,The Hobbit: An Unexpected Journey,2012,7.8,6
236,Click,2006,6.4,6
237,Public Enemies,2009,7,6
238,The Town,2010,7.5,6
239,E.T. the Extra-Terrestrial,1982,7.8,6
240,La La Land,2016,8,6
241,Jumanji,1995,7,6
242,Anna Karenina,2012,6.6,6
243,Halloween,1978,7.8,6
244,Blue Valentine,2010,7.4,6
245,Zombieland,2009,7.6,6
246,The Notebook,2004,7.8,6
247,Get Out,2017,7.7,6
248,Oculus,2013,6.5,6
249,Alice in Wonderland,2010,6.4,6
250,The Road,2009,7.2,6
251,Gone Girl,2014,8.1,6
252,Frozen,2013,7.4,6
253,Drive,2011,7.8,6
254,The Last Samurai,2003,7.7,6
255,Once,2007,7.8,6
256,Face/Off,1997,7.3,6
257,Behind Enemy Lines,2001,6.4,6
258,V for Vendetta,2005,8.2,6
259,Slumdog Millionaire,2008,8,6
260,The Girl with the Dragon Tattoo,2011,7.8,6
261,Invictus,2009,7.3,6
262,Casablanca,1942,8.5,6
263,Ex Machina,2014,7.7,6
264,The Mist,2007,7.1,6
265,Pan's Labyrinth,2006,8.2,6
266,Misery,1990,7.8,6
267,X: First Class,2011,7.7,6
268,À l'intérieur,2007,6.8,6
269,Evil Dead II,1987,7.8,6
270,Gangs of New York,2002,7.5,6
271,Eastern Promises,2007,7.6,6
272,Let Me In,2010,7.1,6
273,Gran Torino,2008,8.1,6
274,Love Actually,2003,7.6,6
275,Gake no ue no Ponyo,2008,7.7,6
276,Blue Velvet,1986,7.8,6
277,Pandorum,2009,6.7,6
278,Sicko,2007,7.9,6
279,Kill Bill: Vol. 2,2004,8,6
280,Harry Potter and the Order of the Phoenix,2007,7.5,6
281,World War Z,2013,7,6
282,Prometheus,2012,7,6
283,The Lincoln Lawyer,2011,7.3,6
284,Brave,2012,7.1,6
285,Indiana Jones and the Temple of Doom,1984,7.6,6
286,Edge of Tomorrow,2014,7.9,6
287,Lost in Translation,2003,7.7,6
288,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,6
289,300,2006,7.6,6
290,Cloverfield,2008,7,6
291,Milk,2008,7.5,6
292,The Boy in the Striped Pyjamas,2008,7.8,6
293,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,6
294,Black Hawk Down,2001,7.7,6
295,The Revenant,2015,8,6
296,The Bourne Ultimatum,2007,8,6
297,The Babadook,2014,6.8,6
298,Sin City,2005,8,7
299,The Other Boleyn Girl,2008,6.7,5
300,X-Men,2000,7.4,5
301,Great Expectations,2012,6.4,5
302,Ice Age: Dawn of the Dinosaurs,2009,6.9,5
303,Corpse Bride,2005,7.3,5
304,Bruce Almighty,2003,6.7,5
305,The Bourne Legacy,2012,6.7,5
306,Ice Age: The Meltdown,2006,6.8,5
307,Hot Fuzz,2007,7.8,5
308,The Perks of Being a Wallflower,2012,8,5
309,Insidious: Chapter 2,2013,6.6,5
310,Arrival,2016,7.9,5
311,21 Jump Street,2012,7.2,5
312,The Terminal,2004,7.4,5
313,King Kong,2005,7.2,5
314,The Lost World: Jurassic Park,1997,6.6,5
315,Zodiac,2007,7.7,5
316,The Italian Job,1969,7.3,5
317,Paranormal Activity,2007,6.3,5
318,From Russia with Love,1963,7.4,5
319,The Italian Job,2003,7,5
320,The Social Network,2010,7.7,5
321,Idiocracy,2006,6.6,5
322,Alien³,1992,6.5,5
323,The Purge,2013,5.7,5
